,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
7371318,7371318,2021-05-21 09:35:14.321010+00:00,x,y,2021-06-21 05:00:00+00:00,2021-06-21 06:55:00+00:00,beta,True,20.0,0,b-1,7371318,7385.0
3963405,3963405,2021-03-28 10:28:30.510459+00:00,x,y,2021-04-18 15:30:00+00:00,2021-04-18 17:30:00+00:00,alpha,True,15.0,1,a-7,3963405,9798.0
11004720,11004720,2021-06-24 01:08:56.675964+00:00,x,y,2021-07-10 14:00:00+00:00,2021-07-10 16:00:00+00:00,gamma,True,20.0,1,c-4,11004720,9025.0
7831789,7831789,2021-05-26 20:11:19.098520+00:00,x,y,2021-05-31 05:00:00+00:00,2021-05-31 07:00:00+00:00,alpha,True,35.0,1,a-1,7831789,8027.0
17901594,17901594,2021-08-09 08:31:16.321635+00:00,x,y,2021-10-10 10:00:00+00:00,2021-10-10 12:00:00+00:00,gamma,True,20.0,1,c-2,17901594,12560.0
8212179,8212179,2021-05-31 06:49:13.447752+00:00,x,y,2021-06-08 05:00:00+00:00,2021-06-08 07:00:00+00:00,gamma,True,20.0,1,c-2,8212179,10900.0
4498256,4498256,2021-04-11 08:19:13.067281+00:00,x,y,2021-04-25 11:00:00+00:00,2021-04-25 13:00:00+00:00,gamma,True,20.0,1,c-4,4498256,8650.0
523907,523907,2021-01-15 18:55:27.096869+00:00,x,y,2021-02-10 05:00:00+00:00,2021-02-10 07:00:00+00:00,gamma,True,0.0,0,c-2,523907,7900.0
12828003,12828003,2021-07-04 22:24:54.741009+00:00,x,y,2021-07-12 09:45:00+00:00,2021-07-12 11:45:00+00:00,gamma,True,20.0,1,c-2,12828003,12560.0
15600954,15600954,2021-07-23 15:00:24.171139+00:00,x,y,2021-07-31 13:00:00+00:00,2021-07-31 15:00:00+00:00,alpha,True,35.0,1,a-9,15600954,14645.0
7133409,7133409,2021-05-18 16:38:33.813868+00:00,x,y,2021-05-21 05:00:00+00:00,2021-05-21 06:55:00+00:00,beta,True,20.0,0,b-1,7133409,6723.0
14974572,14974572,2021-07-18 14:31:29.708908+00:00,x,y,2021-08-27 17:00:00+00:00,2021-08-27 18:59:00+00:00,gamma,True,20.0,2,c-6,14974572,13560.0
15487095,15487095,2021-07-22 20:25:26.400005+00:00,x,y,2021-08-19 13:00:00+00:00,2021-08-19 15:00:00+00:00,alpha,True,35.0,1,a-9,15487095,10545.0
16227030,16227030,2021-07-28 01:34:08.047774+00:00,x,y,2021-08-09 13:00:00+00:00,2021-08-09 15:00:00+00:00,alpha,True,15.0,1,a-9,16227030,9045.0
18125949,18125949,2021-08-10 07:23:17.792253+00:00,x,y,2021-08-22 10:00:00+00:00,2021-08-22 12:00:00+00:00,gamma,True,20.0,2,c-2,18125949,13050.0
5194254,5194254,2021-04-22 04:43:34.785112+00:00,x,y,2021-05-08 05:00:00+00:00,2021-05-08 06:55:00+00:00,beta,True,40.0,0,b-1,5194254,9977.0
12150273,12150273,2021-07-01 10:42:15.891184+00:00,x,y,2021-07-15 09:45:00+00:00,2021-07-15 11:45:00+00:00,gamma,True,20.0,1,c-2,12150273,10285.0
8269678,8269678,2021-05-31 15:59:30.102316+00:00,x,y,2021-06-05 05:00:00+00:00,2021-06-05 07:00:00+00:00,gamma,True,20.0,1,c-2,8269678,10900.0
12713964,12713964,2021-07-04 10:51:11.436974+00:00,x,y,2021-07-06 04:00:00+00:00,2021-07-06 06:00:00+00:00,alpha,True,35.0,1,a-1,12713964,12645.0
7681384,7681384,2021-05-24 19:13:14.214381+00:00,x,y,2021-06-10 05:00:00+00:00,2021-06-10 07:00:00+00:00,alpha,True,35.0,1,a-1,7681384,7520.0
7792025,7792025,2021-05-26 09:20:39.059532+00:00,x,y,2021-05-30 05:00:00+00:00,2021-05-30 06:55:00+00:00,beta,True,20.0,0,b-1,7792025,7416.0
20921194,20921194,2021-08-25 12:10:25.585168+00:00,x,y,2021-09-26 16:00:00+00:00,2021-09-26 18:00:00+00:00,alpha,True,15.0,1,a-23,20921194,7524.0
3556545,3556545,2021-03-19 19:04:01.602305+00:00,x,y,2021-03-27 08:00:00+00:00,2021-03-27 09:55:00+00:00,beta,True,20.0,0,b-67,3556545,8957.0
7333060,7333060,2021-05-20 20:12:40.425786+00:00,x,y,2021-05-28 13:00:00+00:00,2021-05-28 15:00:00+00:00,alpha,True,35.0,1,a-5,7333060,7124.0
528435,528435,2021-01-15 23:20:53.685345+00:00,x,y,2021-03-04 05:00:00+00:00,2021-03-04 06:55:00+00:00,beta,True,20.0,0,b-1,528435,8697.0
21371144,21371144,2021-08-28 17:01:41.176538+00:00,x,y,2021-08-29 04:00:00+00:00,2021-08-29 06:00:00+00:00,alpha,True,20.0,1,a-1,21371144,12645.0
197797,197797,2021-01-06 04:21:09.597885+00:00,x,y,2021-01-10 05:00:00+00:00,2021-01-10 07:00:00+00:00,gamma,True,32.0,1,c-2,197797,8650.0
8466088,8466088,2021-06-02 09:04:49.467729+00:00,x,y,2021-06-24 05:00:00+00:00,2021-06-24 07:00:00+00:00,gamma,True,20.0,2,c-2,8466088,11900.0
5347079,5347079,2021-04-23 14:04:00.084227+00:00,x,y,2021-05-12 13:30:00+00:00,2021-05-12 15:30:00+00:00,alpha,True,15.0,1,a-5,5347079,8048.0
6279803,6279803,2021-05-06 09:18:31.365919+00:00,x,y,2021-05-18 05:00:00+00:00,2021-05-18 07:00:00+00:00,alpha,True,35.0,1,a-1,6279803,8132.0
9902902,9902902,2021-06-14 19:29:04.086500+00:00,x,y,2021-07-03 14:00:00+00:00,2021-07-03 16:00:00+00:00,gamma,True,20.0,1,c-4,9902902,6900.0
80963,80963,2021-01-02 16:52:26.529386+00:00,x,y,2021-01-15 13:00:00+00:00,2021-01-15 15:00:00+00:00,alpha,True,0.0,0,a-5,80963,8739.0
13764950,13764950,2021-07-10 08:03:47.664790+00:00,x,y,2021-07-24 07:00:00+00:00,2021-07-24 09:00:00+00:00,alpha,True,15.0,1,a-5,13764950,11245.0
9444260,9444260,2021-06-11 19:30:58.899720+00:00,x,y,2021-06-15 17:00:00+00:00,2021-06-15 18:59:00+00:00,gamma,True,20.0,1,c-6,9444260,6900.0
12266602,12266602,2021-07-02 05:29:53.131383+00:00,x,y,2021-07-19 14:00:00+00:00,2021-07-19 16:00:00+00:00,gamma,True,20.0,2,c-4,12266602,13560.0
4514830,4514830,2021-04-11 17:38:03.428755+00:00,x,y,2021-05-07 13:30:00+00:00,2021-05-07 15:30:00+00:00,alpha,True,15.0,1,a-5,4514830,8048.0
7809657,7809657,2021-05-26 14:26:54.597016+00:00,x,y,2021-05-30 05:00:00+00:00,2021-05-30 07:00:00+00:00,alpha,True,15.0,1,a-1,7809657,7520.0
278169,278169,2021-01-08 13:20:04.380110+00:00,x,y,2021-01-24 05:00:00+00:00,2021-01-24 06:55:00+00:00,beta,False,20.0,0,b-1,278169,8707.0
12891040,12891040,2021-07-05 08:59:17.908265+00:00,x,y,2021-07-11 09:45:00+00:00,2021-07-11 11:45:00+00:00,gamma,True,20.0,1,c-2,12891040,14065.0
10130909,10130909,2021-06-16 17:27:41.177189+00:00,x,y,2021-07-09 05:00:00+00:00,2021-07-09 06:55:00+00:00,beta,True,20.0,0,b-1,10130909,6344.0
13159200,13159200,2021-07-06 15:41:19.151091+00:00,x,y,2021-07-21 14:00:00+00:00,2021-07-21 16:00:00+00:00,gamma,True,20.0,1,c-4,13159200,10285.0
9997876,9997876,2021-06-15 15:01:36.513900+00:00,x,y,2021-06-30 05:00:00+00:00,2021-06-30 06:55:00+00:00,beta,True,20.0,0,b-1,9997876,6375.0
12419153,12419153,2021-07-02 19:47:30.025261+00:00,x,y,2021-07-25 09:45:00+00:00,2021-07-25 11:45:00+00:00,gamma,True,20.0,2,c-2,12419153,20105.0
19325256,19325256,2021-08-15 19:39:50.170565+00:00,x,y,2021-08-20 14:00:00+00:00,2021-08-20 15:55:00+00:00,beta,True,40.0,0,b-9,19325256,18110.0
11532701,11532701,2021-06-27 17:53:31.289036+00:00,x,y,2021-09-14 14:00:00+00:00,2021-09-14 16:00:00+00:00,gamma,True,20.0,1,c-4,11532701,9025.0
15461877,15461877,2021-07-22 17:03:12.135380+00:00,x,y,2021-07-30 16:30:00+00:00,2021-07-30 18:30:00+00:00,alpha,True,35.0,1,a-9,15461877,12645.0
6580681,6580681,2021-05-10 20:08:01.093954+00:00,x,y,2021-05-16 11:00:00+00:00,2021-05-16 13:00:00+00:00,gamma,True,20.0,2,c-4,6580681,9145.0
16158374,16158374,2021-07-27 13:27:47.992075+00:00,x,y,2021-08-11 14:00:00+00:00,2021-08-11 15:55:00+00:00,beta,True,20.0,0,b-9,16158374,7300.0
18039220,18039220,2021-08-09 19:06:07.245382+00:00,x,y,2021-09-21 16:00:00+00:00,2021-09-21 18:00:00+00:00,alpha,True,20.0,1,a-23,18039220,7524.0
19310670,19310670,2021-08-15 18:16:54.286063+00:00,x,y,2021-08-16 04:00:00+00:00,2021-08-16 06:00:00+00:00,alpha,True,15.0,1,a-1,19310670,6524.0
9642545,9642545,2021-06-13 06:43:55.851001+00:00,x,y,2021-06-16 04:00:00+00:00,2021-06-16 06:00:00+00:00,alpha,True,15.0,1,a-1,9642545,6531.0
14687986,14687986,2021-07-16 10:49:26.273711+00:00,x,y,2021-07-26 13:00:00+00:00,2021-07-26 15:00:00+00:00,alpha,True,35.0,1,a-9,14687986,17745.0
9595905,9595905,2021-06-12 18:37:32.994640+00:00,x,y,2021-06-13 05:00:00+00:00,2021-06-13 07:00:00+00:00,gamma,True,20.0,2,c-2,9595905,7900.0
17961251,17961251,2021-08-09 13:38:18.359257+00:00,x,y,2021-09-20 11:00:00+00:00,2021-09-20 12:55:00+00:00,beta,True,20.0,0,b-69,17961251,6570.0
1966712,1966712,2021-02-21 08:08:06.328162+00:00,x,y,2021-02-26 13:00:00+00:00,2021-02-26 15:00:00+00:00,alpha,True,15.0,1,a-5,1966712,12495.0
6741961,6741961,2021-05-13 18:51:36.606544+00:00,x,y,2021-05-15 15:30:00+00:00,2021-05-15 17:30:00+00:00,alpha,True,35.0,1,a-7,6741961,6995.0
7464399,7464399,2021-05-22 09:37:33.112999+00:00,x,y,2021-07-15 05:00:00+00:00,2021-07-15 07:00:00+00:00,gamma,True,20.0,2,c-2,7464399,9025.0
4204959,4204959,2021-04-03 07:35:13.493165+00:00,x,y,2021-04-10 11:00:00+00:00,2021-04-10 13:00:00+00:00,gamma,True,20.0,1,c-4,4204959,9800.0
10102933,10102933,2021-06-16 13:02:15.692657+00:00,x,y,2021-07-08 16:00:00+00:00,2021-07-08 18:00:00+00:00,alpha,True,35.0,1,a-23,10102933,7124.0
20305630,20305630,2021-08-21 10:50:27.720728+00:00,x,y,2021-08-30 14:00:00+00:00,2021-08-30 16:00:00+00:00,gamma,True,20.0,1,c-4,20305630,7500.0
13030428,13030428,2021-07-05 23:17:50.160914+00:00,x,y,2021-07-10 09:45:00+00:00,2021-07-10 11:45:00+00:00,gamma,True,20.0,1,c-2,13030428,14065.0
4479533,4479533,2021-04-10 15:36:15.761784+00:00,x,y,2021-05-21 05:00:00+00:00,2021-05-21 07:00:00+00:00,alpha,True,35.0,1,a-1,4479533,8605.0
9576423,9576423,2021-06-12 16:25:51.513785+00:00,x,y,2021-07-15 09:45:00+00:00,2021-07-15 11:45:00+00:00,gamma,True,20.0,2,c-2,9576423,7900.0
9433702,9433702,2021-06-11 17:39:28.891762+00:00,x,y,2021-06-27 09:45:00+00:00,2021-06-27 11:45:00+00:00,gamma,True,20.0,2,c-2,9433702,11900.0
14435877,14435877,2021-07-14 14:36:42.378126+00:00,x,y,2021-07-31 07:00:00+00:00,2021-07-31 09:00:00+00:00,alpha,True,15.0,1,a-5,14435877,11245.0
15715968,15715968,2021-07-24 13:30:45.398832+00:00,x,y,2021-08-04 16:00:00+00:00,2021-08-04 18:00:00+00:00,alpha,True,15.0,1,a-23,15715968,11245.0
19853307,19853307,2021-08-18 17:12:37.727108+00:00,x,y,2021-08-23 10:00:00+00:00,2021-08-23 12:00:00+00:00,gamma,True,20.0,2,c-2,19853307,19105.0
6812919,6812919,2021-05-15 00:11:25.569553+00:00,x,y,2021-05-25 17:00:00+00:00,2021-05-25 18:59:00+00:00,gamma,True,20.0,1,c-6,6812919,7390.0
5345883,5345883,2021-04-23 13:40:11.826339+00:00,x,y,2021-04-30 05:00:00+00:00,2021-04-30 07:00:00+00:00,gamma,True,20.0,1,c-2,5345883,7390.0
6054493,6054493,2021-05-03 05:54:46.087029+00:00,x,y,2021-05-06 14:00:00+00:00,2021-05-06 15:55:00+00:00,beta,True,40.0,0,b-9,6054493,8726.0
10119063,10119063,2021-06-16 15:42:18.374692+00:00,x,y,2021-06-17 14:00:00+00:00,2021-06-17 16:00:00+00:00,gamma,True,20.0,1,c-4,10119063,6620.0
11201007,11201007,2021-06-25 11:08:10.574068+00:00,x,y,2021-06-26 14:00:00+00:00,2021-06-26 16:00:00+00:00,gamma,True,20.0,1,c-4,11201007,12050.0
1018806,1018806,2021-01-29 13:02:10.067566+00:00,x,y,2021-02-07 16:00:00+00:00,2021-02-07 18:10:00+00:00,alpha,True,0.0,0,a-7,1018806,8739.0
20614786,20614786,2021-08-23 12:13:43.706835+00:00,x,y,2021-09-10 16:00:00+00:00,2021-09-10 18:00:00+00:00,alpha,True,15.0,1,a-23,20614786,6810.0
12048032,12048032,2021-06-30 18:55:10.904755+00:00,x,y,2021-07-09 14:00:00+00:00,2021-07-09 16:00:00+00:00,gamma,True,20.0,2,c-4,12048032,17090.0
19269276,19269276,2021-08-15 14:16:00.897005+00:00,x,y,2021-08-27 10:35:00+00:00,2021-08-27 12:35:00+00:00,omega,True,20.0,1,d-3,19269276,6870.0
12654684,12654684,2021-07-04 05:25:56.507474+00:00,x,y,2021-07-11 17:00:00+00:00,2021-07-11 18:59:00+00:00,gamma,True,20.0,1,c-6,12654684,15075.0
9661261,9661261,2021-06-13 08:58:17.833564+00:00,x,y,2021-07-18 13:00:00+00:00,2021-07-18 15:00:00+00:00,alpha,True,35.0,1,a-9,9661261,7150.0
2939848,2939848,2021-03-10 04:59:05.736271+00:00,x,y,2021-03-11 15:30:00+00:00,2021-03-11 17:30:00+00:00,alpha,True,15.0,1,a-7,2939848,9235.0
14396098,14396098,2021-07-14 09:49:11.428886+00:00,x,y,2021-08-07 10:00:00+00:00,2021-08-07 12:00:00+00:00,alpha,True,35.0,1,a-7,14396098,12645.0
1648484,1648484,2021-02-14 01:19:42.056679+00:00,x,y,2021-02-15 05:00:00+00:00,2021-02-15 07:00:00+00:00,gamma,True,32.0,1,c-2,1648484,12500.0
14461689,14461689,2021-07-14 17:54:36.447511+00:00,x,y,2021-07-18 07:00:00+00:00,2021-07-18 09:00:00+00:00,alpha,True,35.0,1,a-5,14461689,17745.0
9696090,9696090,2021-06-13 12:55:42.770808+00:00,x,y,2021-06-26 16:00:00+00:00,2021-06-26 18:00:00+00:00,alpha,True,35.0,1,a-23,9696090,7150.0
21238571,21238571,2021-08-27 16:30:18.490504+00:00,x,y,2021-08-30 04:00:00+00:00,2021-08-30 06:00:00+00:00,alpha,True,20.0,1,a-1,21238571,10545.0
13395102,13395102,2021-07-07 20:19:10.272336+00:00,x,y,2021-07-18 05:00:00+00:00,2021-07-18 06:55:00+00:00,beta,True,40.0,0,b-1,13395102,12930.0
19727311,19727311,2021-08-18 03:47:40.132206+00:00,x,y,2021-08-21 17:00:00+00:00,2021-08-21 18:59:00+00:00,gamma,True,20.0,1,c-6,19727311,19360.0
991981,991981,2021-01-28 18:45:52.334486+00:00,x,y,2021-02-01 11:00:00+00:00,2021-02-01 13:00:00+00:00,gamma,True,32.0,1,c-4,991981,9150.0
19611303,19611303,2021-08-17 11:40:56.688198+00:00,x,y,2021-08-18 10:00:00+00:00,2021-08-18 12:00:00+00:00,alpha,True,20.0,1,a-7,19611303,10545.0
9025755,9025755,2021-06-07 17:43:38.458463+00:00,x,y,2021-06-08 16:00:00+00:00,2021-06-08 18:00:00+00:00,alpha,True,15.0,1,a-23,9025755,13592.0
15063364,15063364,2021-07-19 09:10:39.427123+00:00,x,y,2021-08-15 16:00:00+00:00,2021-08-15 18:00:00+00:00,alpha,True,35.0,1,a-23,15063364,12645.0
13483726,13483726,2021-07-08 11:48:23.676184+00:00,x,y,2021-07-21 14:00:00+00:00,2021-07-21 16:00:00+00:00,gamma,True,20.0,1,c-4,13483726,7765.0
11281453,11281453,2021-06-25 21:41:20.702229+00:00,x,y,2021-06-28 09:45:00+00:00,2021-06-28 11:45:00+00:00,gamma,True,20.0,2,c-2,11281453,22150.0
19026373,19026373,2021-08-14 08:17:41.021357+00:00,x,y,2021-08-16 17:00:00+00:00,2021-08-16 18:59:00+00:00,gamma,True,20.0,2,c-6,19026373,7870.0
3386975,3386975,2021-03-16 18:27:11.513232+00:00,x,y,2021-04-06 05:00:00+00:00,2021-04-06 07:00:00+00:00,gamma,True,20.0,2,c-2,3386975,11300.0
15856085,15856085,2021-07-25 12:58:03.309570+00:00,x,y,2021-08-15 17:00:00+00:00,2021-08-15 18:59:00+00:00,gamma,True,20.0,1,c-6,15856085,7765.0
9929012,9929012,2021-06-15 04:51:50.133294+00:00,x,y,2021-06-16 13:00:00+00:00,2021-06-16 15:00:00+00:00,alpha,True,35.0,1,a-9,9929012,7150.0
8025828,8025828,2021-05-29 12:22:04.525120+00:00,x,y,2021-08-05 05:00:00+00:00,2021-08-05 06:55:00+00:00,beta,True,20.0,0,b-1,8025828,7479.0
641145,641145,2021-01-19 11:27:07.524230+00:00,x,y,2021-01-21 14:00:00+00:00,2021-01-21 15:55:00+00:00,beta,True,40.0,0,b-9,641145,18124.0
3631191,3631191,2021-03-21 11:04:03.368885+00:00,x,y,2021-03-24 13:30:00+00:00,2021-03-24 15:30:00+00:00,alpha,True,35.0,1,a-5,3631191,10799.0
7955618,7955618,2021-05-28 14:32:52.945750+00:00,x,y,2021-06-11 05:00:00+00:00,2021-06-11 07:00:00+00:00,gamma,True,20.0,2,c-2,7955618,11425.0
2521431,2521431,2021-03-03 10:21:42.707152+00:00,x,y,2021-03-11 13:30:00+00:00,2021-03-11 15:30:00+00:00,alpha,True,15.0,1,a-5,2521431,7502.0
16425921,16425921,2021-07-29 15:12:49.930462+00:00,x,y,2021-08-03 13:00:00+00:00,2021-08-03 15:00:00+00:00,alpha,True,15.0,1,a-9,16425921,9045.0
1029782,1029782,2021-01-29 17:33:22.039198+00:00,x,y,2021-02-11 11:00:00+00:00,2021-02-11 13:00:00+00:00,gamma,True,32.0,2,c-4,1029782,10400.0
13343110,13343110,2021-07-07 15:06:53.123789+00:00,x,y,2021-07-23 14:00:00+00:00,2021-07-23 16:00:00+00:00,gamma,True,20.0,1,c-4,13343110,10285.0
10629932,10629932,2021-06-21 02:01:15.399326+00:00,x,y,2021-08-01 17:00:00+00:00,2021-08-01 18:59:00+00:00,gamma,True,20.0,2,c-6,10629932,7620.0
20521269,20521269,2021-08-22 19:18:11.809922+00:00,x,y,2021-09-06 17:05:00+00:00,2021-09-06 19:05:00+00:00,omega,True,20.0,1,d-5,20521269,7950.0
2707835,2707835,2021-03-06 07:51:01.830003+00:00,x,y,2021-03-09 17:00:00+00:00,2021-03-09 18:59:00+00:00,gamma,True,20.0,2,c-6,2707835,8890.0
20157906,20157906,2021-08-20 11:51:45.334242+00:00,x,y,2021-09-12 11:00:00+00:00,2021-09-12 12:55:00+00:00,beta,True,20.0,0,b-69,20157906,6750.0
12512718,12512718,2021-07-03 10:07:45.687876+00:00,x,y,2021-07-15 14:00:00+00:00,2021-07-15 15:55:00+00:00,beta,True,40.0,0,b-9,12512718,10830.0
21728900,21728900,2021-08-31 15:36:38.672108+00:00,x,y,2021-09-06 17:05:00+00:00,2021-09-06 19:05:00+00:00,omega,True,20.0,1,d-5,21728900,5606.0
1007722,1007722,2021-01-29 07:54:20.592605+00:00,x,y,2021-01-31 16:00:00+00:00,2021-01-31 18:10:00+00:00,alpha,True,0.0,0,a-7,1007722,8739.0
8846034,8846034,2021-06-05 20:13:34.561288+00:00,x,y,2021-07-13 05:00:00+00:00,2021-07-13 07:00:00+00:00,gamma,True,20.0,2,c-2,8846034,11900.0
2452979,2452979,2021-03-02 08:07:49.601894+00:00,x,y,2021-05-13 11:00:00+00:00,2021-05-13 13:00:00+00:00,gamma,True,0.0,0,c-4,2452979,8525.0
21279394,21279394,2021-08-28 00:35:35.989239+00:00,x,y,2021-09-18 16:00:00+00:00,2021-09-18 18:00:00+00:00,alpha,True,20.0,1,a-23,21279394,8381.0
14988212,14988212,2021-07-18 16:25:55.664197+00:00,x,y,2021-08-02 13:00:00+00:00,2021-08-02 15:00:00+00:00,alpha,True,15.0,1,a-9,14988212,12945.0
3415741,3415741,2021-03-17 09:50:46.828820+00:00,x,y,2021-03-27 17:00:00+00:00,2021-03-27 18:59:00+00:00,gamma,True,20.0,2,c-6,3415741,11300.0
7010483,7010483,2021-05-17 09:52:07.473423+00:00,x,y,2021-05-22 16:00:00+00:00,2021-05-22 18:00:00+00:00,alpha,True,35.0,1,a-7,7010483,6890.0
4080956,4080956,2021-03-31 05:08:34.542488+00:00,x,y,2021-04-01 05:00:00+00:00,2021-04-01 07:00:00+00:00,gamma,True,20.0,1,c-2,4080956,9800.0
10459608,10459608,2021-06-19 13:49:04.007600+00:00,x,y,2021-07-29 14:00:00+00:00,2021-07-29 16:00:00+00:00,gamma,True,20.0,1,c-4,10459608,6620.0
2113124,2113124,2021-02-24 15:45:22.698149+00:00,x,y,2021-02-27 05:00:00+00:00,2021-02-27 07:00:00+00:00,gamma,True,20.0,1,c-2,2113124,12500.0
1601589,1601589,2021-02-12 23:39:02.463147+00:00,x,y,2021-02-15 13:00:00+00:00,2021-02-15 15:00:00+00:00,alpha,True,35.0,1,a-5,1601589,12500.0
14556347,14556347,2021-07-15 11:39:24.375881+00:00,x,y,2021-07-24 10:00:00+00:00,2021-07-24 12:00:00+00:00,alpha,True,35.0,1,a-7,14556347,14645.0
17814186,17814186,2021-08-08 18:49:37.910267+00:00,x,y,2021-08-28 14:00:00+00:00,2021-08-28 15:55:00+00:00,beta,True,20.0,0,b-9,17814186,6900.0
16065312,16065312,2021-07-26 19:44:31.003208+00:00,x,y,2021-07-28 17:00:00+00:00,2021-07-28 18:59:00+00:00,gamma,True,20.0,2,c-6,16065312,10280.0
2255918,2255918,2021-02-27 12:54:56.630752+00:00,x,y,2021-03-07 11:00:00+00:00,2021-03-07 12:55:00+00:00,beta,True,20.0,0,b-69,2255918,6944.0
9277738,9277738,2021-06-10 07:46:52.595272+00:00,x,y,2021-06-10 17:00:00+00:00,2021-06-10 18:59:00+00:00,gamma,True,20.0,1,c-6,9277738,10900.0
18002505,18002505,2021-08-09 16:52:26.188965+00:00,x,y,2021-08-24 14:00:00+00:00,2021-08-24 15:55:00+00:00,beta,True,20.0,0,b-9,18002505,6900.0
6838759,6838759,2021-05-15 10:17:17.565022+00:00,x,y,2021-06-14 17:00:00+00:00,2021-06-14 18:59:00+00:00,gamma,True,20.0,2,c-6,6838759,10655.0
6604013,6604013,2021-05-11 06:56:48.173997+00:00,x,y,2021-08-23 13:30:00+00:00,2021-08-23 15:30:00+00:00,alpha,True,15.0,1,a-5,6604013,7796.0
12751124,12751124,2021-07-04 14:19:24.568190+00:00,x,y,2021-08-10 11:00:00+00:00,2021-08-10 12:55:00+00:00,beta,True,40.0,0,b-69,12751124,8140.0
17064353,17064353,2021-08-04 07:52:45.224409+00:00,x,y,2021-08-08 17:00:00+00:00,2021-08-08 18:59:00+00:00,gamma,True,20.0,1,c-6,17064353,10040.0
588302,588302,2021-01-17 19:41:13.057095+00:00,x,y,2021-01-19 14:00:00+00:00,2021-01-19 15:55:00+00:00,beta,True,20.0,0,b-9,588302,8697.0
5250813,5250813,2021-04-22 15:21:38.909818+00:00,x,y,2021-05-24 05:00:00+00:00,2021-05-24 07:00:00+00:00,alpha,True,35.0,1,a-1,5250813,8290.0
9536390,9536390,2021-06-12 11:14:54.688615+00:00,x,y,2021-06-26 14:00:00+00:00,2021-06-26 15:55:00+00:00,beta,True,20.0,0,b-9,9536390,6522.0
10305093,10305093,2021-06-18 09:11:14.176256+00:00,x,y,2021-06-24 04:00:00+00:00,2021-06-24 06:00:00+00:00,alpha,True,15.0,1,a-1,10305093,6531.0
18698476,18698476,2021-08-12 15:02:56.883056+00:00,x,y,2021-08-13 05:30:00+00:00,2021-08-13 07:30:00+00:00,gamma,True,20.0,1,c-2,18698476,7500.0
16486929,16486929,2021-07-30 05:51:41.449458+00:00,x,y,2021-07-31 13:00:00+00:00,2021-07-31 15:00:00+00:00,alpha,True,15.0,1,a-9,16486929,14945.0
17931693,17931693,2021-08-09 11:15:21.642168+00:00,x,y,2021-08-16 13:00:00+00:00,2021-08-16 15:00:00+00:00,alpha,True,15.0,1,a-9,17931693,7524.0
21617743,21617743,2021-08-30 18:23:31.489137+00:00,x,y,2021-09-01 05:00:00+00:00,2021-09-01 06:55:00+00:00,beta,True,40.0,0,b-1,21617743,9470.0
7603614,7603614,2021-05-23 20:59:38.919666+00:00,x,y,2021-06-06 16:00:00+00:00,2021-06-06 18:00:00+00:00,alpha,True,35.0,1,a-7,7603614,8027.0
1902018,1902018,2021-02-19 12:35:45.264031+00:00,x,y,2021-03-05 14:00:00+00:00,2021-03-05 15:55:00+00:00,beta,True,20.0,0,b-9,1902018,11888.0
